Stego?,Entropy_img_full,Mean_entropy_slices,Stdev_entropy_slices,Mean_MarkovChains_00,Mean_MarkovChains_01,Mean_MarkovChains_10,Mean_MarkovChains_11,Stdev_MarkovChains_00,Stdev_MarkovChains_01,Stdev_MarkovChains_10,Stdev_MarkovChains_11,Mean_imgfull_MarkovChains_00,Mean_imgfull_MarkovChains_01,Mean_imgfull_MarkovChains_10,Mean_imgfull_MarkovChains_11
0,2.25951878000178,2.72056024536308,3.14589575000155,0.632421875,0.367578125,0.143973214285714,0.856026785714286,0.159654866318837,0.159654866318837,0.086543782489893,0.086543782489893,0.5,0.5,0,1
0,5.20640636563132,8.24113653759335,2.1461421517768,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.21633585467251,6.98688998254597,1.60655715186406,875,125,0,1,0,0,0,0,0.5,0.5,0.000463821892393,0.999536178107607
0,5.11780127102003,7.29350850825288,0.684351677168194,875,125,0,1,0,0,0,0,0.5,0.5,1,999
0,5.25780014696391,7.03800695700897,0.291745739767557,875,125,0,1,0,0,0,0,0.500261233019854,0.499738766980146,0.014211076280042,0.985788923719958
0,2.35211374122856,2.99669822381668,3.34635461865751,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,4.64387959994607,6.87809620937615,0.73488099370756,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.3265969736014,7.64357000100614,1.44762664748048,0.865625,0.134375,0.03125,0.96875,0.025,25,0.083333333333333,0.083333333333333,0.5,0.5,0,1
0,5.3264444851991,8.26555076601168,1.04209225987807,0.872488839285714,0.127511160714286,0.0078125,0.9921875,0.020089285714286,0.020089285714286,0.0625,0.0625,0.5,0.5,0,1
0,5.08971355851011,7.04548047330325,1.99476636361682,875,125,0,1,0,0,0,0,0.499757174392936,0.500242825607064,0.121430148218228,0.878569851781772
0,5.1958888230344,7.80472181427053,1.13542112857157,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,5.16392837722209,8.62071000676517,0.530725937181035,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,4.4969417694634,5.61876446072443,2.29398709835537,0.840327380952381,0.159672619047619,0.043489583333333,0.956510416666667,0.086123910979054,0.086123910979054,0.106723578877209,0.106723578877209,0.5,0.5,0.002307692307692,0.997692307692308
0,1.44622693647318,2.47111808081437,2.22632200454987,875,125,0,1,0,0,0,0,0.5,0.5,0,1
0,4.50053547819925,6.36426265248569,2.33885968535778,875,125,0,1,0,0,0,0,0.522101003532676,0.477898996467324,0.039520545789751,0.960479454210249
0,3.35115131822068,4.64551546759662,2.3260691684051,0.76147693452381,0.23852306547619,0.14281994047619,0.85718005952381,0.133954854595346,0.133954854595346,0.149369990465516,0.149369990465516,0.504464285714286,0.495535714285714,0.038095238095238,0.961904761904762
